subsektor,komoditas,prov,kab,Indikator,Satuan,Tahun,Jumlah
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1970,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1970,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1970,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1971,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1971,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1971,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1972,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1972,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1972,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1973,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1973,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1973,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1974,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1974,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1974,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1975,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1975,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1975,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1976,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1976,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1976,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1977,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1977,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1977,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1978,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1978,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1978,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1979,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1979,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1979,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1980,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1980,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1980,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1981,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1981,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1981,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1982,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1982,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1982,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1983,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1983,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1983,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1984,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1984,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1984,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1985,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1985,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1985,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1986,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1986,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1986,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1987,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1987,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1987,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1988,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1988,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1988,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1989,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1989,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1989,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1990,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1990,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1990,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1991,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1991,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1991,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1992,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1992,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1992,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1993,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1993,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1993,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1994,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1994,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1994,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1995,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1995,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1995,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1996,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1996,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1996,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1997,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1997,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1997,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1998,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1998,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1998,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1999,"17,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1999,"37,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1999,"22,05"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2000,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2000,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2000,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2001,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2001,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2001,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2002,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2002,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2002,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2003,"7,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2003,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2003,"25,71"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2004,"7,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2004,"20,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2004,"28,91"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2005,"18,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2005,"47,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2005,"26,34"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2006,"14,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2006,"36,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2006,"25,71"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2007,"46,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2007,"110,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2007,"23,91"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2008,"30,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2008,"72,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2008,"24,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2009,"62,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2009,"109,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2009,"17,58"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2010,"2,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2010,"4,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2010,"20,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2011,"22,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2011,"88,77"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2011,"40,35"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2012,"9,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2012,"27,52"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2012,"30,58"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2013,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2013,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2013,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2014,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2014,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2014,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2015,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2015,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2015,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2016,"29,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2016,"88,68"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2016,"30,58"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2017,"97,50"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2017,"246,78"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2017,"25,31"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2018,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2018,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2018,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2019,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2019,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2019,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2020,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2020,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2020,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2021,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2021,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2021,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2022,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2022,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2022,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,2023,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,2023,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,2023,"0,00"
